[2012-11-21 17:46:51] START
[2012-11-21 17:46:51] EDIT rosan/models/db_rosan.py: 0
[2012-11-22 20:03:01] CREATE /default/login.html: 0
[2012-11-22 20:04:12] CREATE default/login.html: 0
[2012-11-22 20:05:39] EDIT rosan/views/default/login.html: 85
[2012-11-22 20:10:36] EDIT rosan/controllers/default.py: 2
[2012-11-22 20:15:13] EDIT rosan/views/default/login.html: 0
[2012-11-22 20:20:35] EDIT rosan/views/layout.html: 6
[2012-11-22 20:25:03] EDIT rosan/views/layout.html: 0
[2012-11-22 20:47:24] EDIT rosan/views/default/login.html: -14
[2012-11-22 20:56:33] EDIT rosan/views/default/login.html: 0
[2012-11-22 20:59:13] EDIT rosan/views/layout_login.html: -80
[2012-11-22 21:00:32] EDIT rosan/views/default/login.html: -5
[2012-11-22 21:01:40] EDIT rosan/views/layout_login.html: 0
[2012-11-22 21:43:04] EDIT rosan/views/layout_login.html: 0
[2012-11-22 21:48:46] EDIT rosan/views/layout_login.html: -2
[2012-11-22 21:50:44] EDIT rosan/views/layout_login.html: -2
[2012-11-22 21:52:34] EDIT rosan/views/layout_login.html: -4
[2012-11-22 21:54:49] EDIT rosan/views/layout_login.html: 3
[2012-11-22 22:05:12] EDIT rosan/static/css/pages/signin.css: 0
[2012-11-22 22:08:05] EDIT rosan/static/css/pages/signin.css: 0
[2012-11-22 22:11:23] EDIT rosan/static/css/base-admin.css: 0
[2012-11-22 22:12:36] EDIT rosan/static/css/pages/signin.css: 0
[2012-11-22 22:15:03] EDIT rosan/views/default/login.html: 0
[2012-11-22 22:18:59] EDIT rosan/views/default/login.html: 0
[2012-11-22 22:20:01] EDIT rosan/views/default/login.html: 0
[2012-11-22 22:50:04] CREATE default/layout_inicio.html: 0
[2012-11-22 23:06:27] EDIT rosan/views/default/layout_inicio.html: -3
[2012-11-22 23:06:59] DELETE rosan/views/default/layout_inicio.html: 0
[2012-11-22 23:07:12] CREATE layout_inicio.html: 0
[2012-11-22 23:07:27] EDIT rosan/views/layout_inicio.html: 70
[2012-11-22 23:11:06] EDIT rosan/views/layout_inicio.html: 0
[2012-11-22 23:11:39] EDIT rosan/views/default/index.html: -1
[2012-11-22 23:14:02] EDIT rosan/views/default/index.html: 5
[2012-11-22 23:14:30] EDIT rosan/views/default/index.html: 0
[2012-11-22 23:15:18] EDIT rosan/views/default/index.html: 0
[2012-11-22 23:15:58] EDIT rosan/views/default/index.html: -2
[2012-11-22 23:26:33] EDIT rosan/views/default/index.html: 3
[2012-11-22 23:27:41] EDIT rosan/views/default/index.html: 0
[2012-11-22 23:29:16] EDIT rosan/views/default/index.html: 0
[2012-11-22 23:29:58] EDIT rosan/views/default/index.html: 0
[2012-12-07 19:07:17] EDIT rosan/controllers/default.py: 3
[2012-12-07 19:07:51] EDIT rosan/controllers/default.py: 0
[2012-12-07 19:24:30] CREATE default/frontend.html: 0
[2012-12-07 19:24:34] EDIT rosan/views/default/frontend.html: 0
[2012-12-07 19:25:14] EDIT rosan/views/default/frontend.html: -1
[2012-12-09 19:04:15] EDIT rosan/controllers/default.py: 2
[2012-12-09 19:04:49] CREATE default/clientes.html: 0
[2012-12-09 19:05:06] EDIT rosan/views/default/clientes.html: -1
[2012-12-09 19:07:40] EDIT rosan/views/default/clientes.html: -1
[2012-12-09 19:08:13] CREATE default/facturas.hmtl: 0
[2012-12-09 19:08:44] DELETE rosan/views/default/facturas.hmtl: 0
[2012-12-09 19:09:02] CREATE default/facturas.html: 0
[2012-12-09 19:09:26] EDIT rosan/views/default/facturas.html: -1
[2012-12-09 19:09:45] CREATE default/presupuestos.html: 0
[2012-12-09 19:10:08] EDIT rosan/views/default/presupuestos.html: -1
[2012-12-09 19:11:01] EDIT rosan/controllers/default.py: 4
[2012-12-09 19:11:12] EDIT rosan/controllers/default.py: 0
[2012-12-09 19:11:20] EDIT rosan/controllers/default.py: 0
[2012-12-09 19:14:03] EDIT rosan/views/layout_frontend_clientes.html: 0
[2012-12-09 19:14:22] EDIT rosan/views/layout_frontend_facturas.html: 0
[2012-12-09 19:14:38] EDIT rosan/views/layout_frontend_presupuestos.html: 0
[2012-12-09 19:15:00] EDIT rosan/views/layout_frontend_presupuestos.html: 0
[2012-12-09 19:16:56] CREATE default/articulos.html: 0
[2012-12-09 19:17:06] EDIT rosan/views/default/articulos.html: 0
[2012-12-09 19:17:25] CREATE default/contabilidad.html: 0
[2012-12-09 19:17:41] EDIT rosan/views/default/contabilidad.html: 0
[2012-12-09 19:18:19] EDIT rosan/controllers/default.py: 4
[2012-12-09 19:18:28] EDIT rosan/controllers/default.py: 0
[2012-12-09 19:18:30] EDIT rosan/controllers/default.py: 0
